Date,Question,Answer,Specialty,Diagnosis,Emergency,Pharmacology
"February 13, 2018",What are the grades of hepatic encephalopathy?,"Grade I Mild impairment: sleep alterations, heightened irritability, and metabolic tremor
Grade II. Moderate impairment: lethargy, grossly impaired intellectual function, inappropriate or bizarre behavior, slurred speech, ataxia
Grade III Severe impairment: confusion, disorientation, hyperactive reflexes, and Babinski's reflex 
Grade IV Coma: unconsciousness, and dilated pupils
",Gastroenterology,,,
"February 13, 2018",What are the precipitants factors for hepatic encephalopathy?,"Diarrhea, vomiting or diuresis resulting in hypokalemia or alkalosis
Gastrointestinal bleeding or a relatively high-protein diet  
Infections 
Alcohol, sedatives or diuretics
Hypoglycemia 
",Gastroenterology,,,
"February 13, 2018",How can you differentiate between resolved hepatitis B infection and hepatitis B immunization?,"Both might have HBsAg and Anti-HBs negative and positive, respectively, but Anti-HBc is positive only on resolved infections.  ",Infectious Diseases,,,
"February 13, 2018",How can you calculate GFR?,"Clinically, GFR is estimated using serum creatinine concentration, [Cr]. The equation is [Cr]plasma x GFR = [Cr]urine x urine flow. Cockcroft-Gault formula uses serum Cr along with age, gender, and weight (kg) to estimate GFR. It overestimates GFR when renal function severely impaired. On the other hand, MDRD formula underestimates GFR at near normal values. However, the best current equation is CKD-EPI.",Nephrology,,,
"February 15, 2018",What are the investigations to be ordered in patients with acute abdomen?,"CBC, RBS, LFT, RFT/Urinalysis, Amylase/Lipase, Troponins and Lactate. Order β-hCG in women of childbearing age. Order INR/PTT as a preparation of surgery. Order CXR and ECG if clinically indicated by history or age.",General Surgery,,,
"February 15, 2018",What is the most common type of hyponatremia?,It is hypotonic (hypo-osmolar) hyponatremia. Non-hypotonic hyponatremia has different causes and does not lead to the same consequences of cerebral edema during generation or myelinolysis on rapid correction.,Nephrology,,,
"February 15, 2018",How can you calculate corrected sodium?,"If the glucose level is > 100 mg/dL, the most accurate correction formula is: corrected sodium (mmol/L) = measured sodium + 0.024 (glucose -100).",Nephrology,,,
"February 15, 2018",What are the investigations to be ordered for hyponatremia? ,"Serum sodium, serum osmolality, serum electrolytes, urine sodium, urine osmolality, and urine electrolytes as well as RBS and RFT.",Nephrology,,,
"February 19, 2018",What are the common pattern of liver injuries?,"Transaminases increase only in the hepatocellular pattern. In the infiltrative pattern, only alkaline phosphatase is elevated. In the cholestatic pattern, both alkaline phosphatase and bilirubin are high.    ",Gastroenterology,,,
"February 19, 2018",What is the most common cause of elevated ALT?,Fatty liver,Gastroenterology,,,
"February 19, 2018",What are the feature of alcoholic hepatitis?,"AST/ALT>2, AST<300, low grad fever, and mild leukocytosis.   ",Gastroenterology,,,
"February 19, 2018",What are the most common causes of very elevated transaminases (>1000)?,"Viral hepatitis, drugs, toxins, autoimmune hepatitis and hepatic ischemia.  ",Gastroenterology,,,
"February 20, 2018",What is Reynold's Pentad?,"Charcot's triad, hypotension, and altered mental status.",General Surgery,,,
"February 20, 2018","What are the five components of the ""at admission Ranson's criteria""?","Age >55 years 
WBC >16 x 109/L
Glucose >200 mg/dl
AST >250 IU/L
LDH >350 IU/L
",General Surgery,,,
"February 20, 2018",What is the definition of hospital-acquired pneumonia?,It is a type of pneumonia that occurs 48 hours or more after admission and did not appear to be incubating at the time of admission. It is the leading cause of death among hospital-acquired infections.,Infectious Diseases,,,
"February 20, 2018",What are the antibiotics with antipseudomonal activity?,"Antipseudomonal penicillins in combination with a beta-lactamase inhibitor: Piperacillin-Tazobactam 
Cephalosporins with antipseudomonal activity: Ceftazidime and Cefepime
Oral or intravenous Fluoroquinolones: Ciprofloxacin and Levofloxacin
Monobactam: Aztreonam
Carbapenems: Meropenem
",Infectious Diseases,,,
"February 20, 2018",Why are aminoglycosides not used as single agents against pseudomonas infections?,"Gentamicin, Tobramycin, and Amikacin are active against P. aeruginosa but are generally not used as single agents because of inadequate clinical efficacy at most sites. As examples, an aminoglycoside should not be used as monotherapy for pneumonia because they perform poorly in an acidic environment.",Infectious Diseases,,,
"February 20, 2018",What are the antibiotics that can be used against methicillin-resistant S. aureus (MRSA)?,"Vancomycin 
Daptomycin 
Linezolid (bacteriostatic, can be given orally)
Tedizolid (bacteriostatic, can be given orally)
Ceftaroline (cephalosporin) 
Telavancin (used for VRSA)
",Infectious Diseases,,,
"February 21, 2018",What are the indications for giving tetanus toxoid and immunoglobulins?,"All patients who have only had up to 2 doses of tetanus toxoid or an uncertain vaccination history should be given tetanus toxoid.
Only patients with tetanus-prone wounds who have only had up to 2 doses of tetanus toxoid or an uncertain vaccination history should be given tetanus immunoglobulins.
Patients who have received ≥3 doses do not require tetanus toxoid unless they have not received a dose in the last 10 years for clean, minor wounds or unless they have not received a dose in the last 5 years for contaminated soil, dirt, saliva or feces, puncture wounds, or wounds resulting from missiles, crushing or burns. 
Toxoid should be injected at a different site from tetanus immunoglobulins. 
",General Surgery,,,
"February 21, 2018",How should you manage wounds?,"Stop active bleeding
Mange the pain 
Disinfect 
Irrigate copiously with normal saline (this is the most important factor in decreasing the risk of infections)
Know the answers for the following questions: When and how was the injury? Is there any retained foreign body? Is there any injury to the neuromuscular structure including tendons? What is the type of the wound?   Is it indicated to give tetanus or antibiotic prophylaxis? 
Explore under local anesthesia 
Debride non-viable tissues
Suture 
Advise patient when to have sutures removed
",General Surgery,,,
"February 21, 2018",What is the maximum dose of lidocaine? ,5 mg/kg without epinephrine and 7mg/kg with epinephrine,General Surgery,,,
"February 21, 2018",What are the alternatives to sutures?,"Glue, strips, and staples.  ",General Surgery,,,
"February 21, 2018",What are the contraindications for suturing?,"Delayed presentation (>6-8 h), puncture wound, mammalian bite, or retained foreign body.",General Surgery,,,
"February 23, 2018",What are the life-threating causes of chest pain?,"Myocardial infarction, cardiac tamponade, aortic dissection, pulmonary embolism, tension pneumothorax and esophageal rapture.",Cardiology,,Yes,
"February 23, 2018",What is the differential diagnosis of elevated troponins?,"Myocardial infarction, congestive heart failure, atrial fibrillation, myocarditis, acute pulmonary embolism, chronic renal insufficiency, and sepsis.",Cardiology,,,
"February 23, 2018",How can you estimate the mortality following a non-ST elevation acute coronary syndrome at 14 days?,"TIMI score (age > 65 years, 50% stenosis, +3 risk factors, aspirin in prior 7 days, +2 anginal episodes in prior 24 hours, elevated markers, elevated ST segment)",Cardiology,,,
"February 23, 2018",What is Ticagrelor?,It is a P2Y12 receptor blocker (antiplatelet) that is used in addition to Aspirin in the acute management of myocardial infarction.,Cardiology,,,
"February 23, 2018",What is the new recommendation about the use of Morphine in the setting of acute myocardial infarction?,"In the setting of acute myocardial infarction, intravenous morphine should be avoided if possible and reserved for patients with an unacceptable level of pain since a large but retrospective study suggests its use is associated with an adverse effect on outcome. Morphine delays and attenuates ticagrelor exposure and action in patients with myocardial infarction.",Cardiology,,,
"February 23, 2018",What are the cases in which nitrates should be avoided in the management of acute coronary syndrome?,"Systolic blood pressure less than 90 mmHg
Marked bradycardia (heart rate less than 50 beats per minute)
Known or suspected right ventricular infarction
The use of a phosphodiesterase inhibitor for erectile dysfunction within the last 24 hours
",Cardiology,,,
"February 23, 2018",What are the differentiating investigations for prerenal and renal azotemia?,"In the prerenal causes of azotemia, the kidneys try to absorb water (oliguric urine volume and urine osmolality above 500 mosmol/kg), absorb urea (BUN/serum creatinine above 20:1), and decrease the loss of sodium (urine sodium below  20 mEq/L and FENa below 1).  ",Nephrology,,,
"February 26, 2018",What are the ultrasound signs of cholecystitis?,"Pericholecystic fluid, distended gallbladder, thickened gallbladder wall, gallstones, and positive sonographic Murphy's sign.",General Surgery,,,
"February 26, 2018",What are the clinical signs of appendicitis?,"A classic sign is right lower quadrant abdominal tenderness (McBurney's sign). There may be localized rebound tenderness, especially if the appendix is anterior. Compressing the left lower quadrant may also elicit pain in the right lower quadrant (Rovsing's sign). Pain may also be elicited with the patient lying on their left side and slowly extending the right thigh to cause a stretch in the iliopsoas muscle (psoas sign) or by internal rotation of the flexed right thigh (obturator sign).",General Surgery,,,
"February 26, 2018",Who are the patients at risk of CT scans-related adverse events? ,"Pregnant women 
Patients with history of acute reaction to contrast
Patients with impaired renal function
Asthmatic patients ",Radiology,,,
